"filename", "language", "XML", "C#", "JSON", "Properties", "comment", "blank", "total"
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/IO/IContetProvider.cs", "C#", 0, 26, 0, 0, 0, 9, 35
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/IO/Parsers/CSVParser.cs", "C#", 0, 25, 0, 0, 0, 6, 31
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/IO/Parsers/OgmoFileInfo.cs", "C#", 0, 64, 0, 0, 0, 10, 74
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/IO/Parsers/OgmoParser.cs", "C#", 0, 141, 0, 0, 3, 30, 174
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/IO/Save/FileSaver.cs", "C#", 0, 171, 0, 0, 24, 36, 231
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Input/Base/ButtonArrays.cs", "C#", 0, 34, 0, 0, 0, 3, 37
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Input/Base/GamePadInfo.cs", "C#", 0, 98, 0, 0, 72, 29, 199
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Input/Base/KeyboardInfo.cs", "C#", 0, 61, 0, 0, 12, 10, 83
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Input/Base/MouseButton.cs", "C#", 0, 12, 0, 0, 0, 3, 15
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Input/Base/MouseInfo.cs", "C#", 0, 123, 0, 0, 12, 17, 152
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Input/InputAction.cs", "C#", 0, 44, 0, 0, 0, 7, 51
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Managers/Input/InputManager.cs", "C#", 0, 36, 0, 0, 4, 9, 49
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Managers/Input/InputManagerBinds.cs", "C#", 0, 96, 0, 0, 24, 19, 139
"/Users/nilslauvstad/Documents/Project/Libraries/Monolith-Engine/Managers/Input/InputManagerQueries.cs", "C#", 0, 100, 0, 0, 12, 29, 141
